I (414) example: Throttle: 0 | Pitch: -6.14
I (424) example: Throttle: 0 | Pitch: -6.14
I (434) example: Throttle: 0 | Pitch: -6.14
I (444) example: Throttle: 0 | Pitch: -6.16
I (454) example: Throttle: 0 | Pitch: -6.16
I (464) example: Throttle: 0 | Pitch: -6.17
I (474) example: Throttle: 0 | Pitch: -6.16
I (484) example: Throttle: 0 | Pitch: -6.16
I (494) example: Throttle: 0 | Pitch: -6.16
I (504) example: Throttle: 0 | Pitch: -6.16
I (514) example: Throttle: 0 | Pitch: -6.18
I (524) example: Throttle: 0 | Pitch: -6.19
I (534) example: Throttle: 0 | Pitch: -6.18
I (544) example: Throttle: 0 | Pitch: -6.17
I (554) example: Throttle: 0 | Pitch: -6.19
I (564) example: Throttle: 0 | Pitch: -6.18
I (574) example: Throttle: 0 | Pitch: -6.18
I (584) example: Throttle: 0 | Pitch: -6.19
I (594) example: Throttle: 0 | Pitch: -6.18
I (604) example: Throttle: 0 | Pitch: -6.17
I (614) example: Throttle: 0 | Pitch: -6.18
I (624) example: Throttle: 0 | Pitch: -6.17
I (634) example: Throttle: 0 | Pitch: -6.18
I (644) example: Throttle: 0 | Pitch: -6.18
I (654) example: Throttle: 0 | Pitch: -6.17
I (664) example: Throttle: 0 | Pitch: -6.17
I (674) example: Throttle: 0 | Pitch: -6.18
I (684) example: Throttle: 0 | Pitch: -6.19
I (694) example: Throttle: 0 | Pitch: -6.20
I (704) example: Throttle: 0 | Pitch: -6.21
I (714) example: Throttle: 0 | Pitch: -6.20
I (724) example: Throttle: 0 | Pitch: -6.21
I (734) example: Throttle: 0 | Pitch: -6.21
I (744) example: Throttle: 0 | Pitch: -6.21
I (754) example: Throttle: 0 | Pitch: -6.23
I (764) example: Throttle: 0 | Pitch: -6.21
I (774) example: Throttle: 0 | Pitch: -6.22
I (784) example: Throttle: 0 | Pitch: -6.22
I (794) example: Throttle: 0 | Pitch: -6.22
I (804) example: Throttle: 0 | Pitch: -6.24
I (814) example: Throttle: 0 | Pitch: -6.22
I (824) example: Throttle: 0 | Pitch: -6.23
I (834) example: Throttle: 0 | Pitch: -6.23
I (844) example: Throttle: 0 | Pitch: -6.24
I (854) example: Throttle: 0 | Pitch: -6.25
I (864) example: Throttle: 0 | Pitch: -6.25
I (874) example: Throttle: 0 | Pitch: -6.25
I (884) example: Throttle: 0 | Pitch: -6.25
I (894) example: Throttle: 0 | Pitch: -6.26
I (904) example: Throttle: 0 | Pitch: -6.26
I (914) example: Throttle: 0 | Pitch: -6.26
I (924) example: Throttle: 0 | Pitch: -6.27
I (934) example: Throttle: 0 | Pitch: -6.27
I (944) example: Throttle: 0 | Pitch: -6.27
I (954) example: Throttle: 0 | Pitch: -6.27
I (964) example: Throttle: 0 | Pitch: -6.27
I (974) example: Throttle: 0 | Pitch: -6.27
I (984) example: Throttle: 0 | Pitch: -6.27
I (994) example: Throttle: 0 | Pitch: -6.27
I (1004) example: Throttle: 0 | Pitch: -6.25
I (1014) example: Throttle: 0 | Pitch: -6.26
I (1024) example: Throttle: 0 | Pitch: -6.27
I (1034) example: Throttle: 0 | Pitch: -6.26
I (1044) example: Throttle: 0 | Pitch: -6.28
I (1054) example: Throttle: 0 | Pitch: -6.28
I (1064) example: Throttle: 0 | Pitch: -6.28
I (1074) example: Throttle: 0 | Pitch: -6.29
I (1084) example: Throttle: 0 | Pitch: -6.30
I (1094) example: Throttle: 0 | Pitch: -6.29
I (1104) example: Throttle: 0 | Pitch: -6.29
I (1114) example: Throttle: 0 | Pitch: -6.29
I (1124) example: Throttle: 0 | Pitch: -6.29
I (1134) example: Throttle: 0 | Pitch: -6.29
I (1144) example: Throttle: 0 | Pitch: -6.29
I (1154) example: Throttle: 0 | Pitch: -6.29
I (1164) example: Throttle: 0 | Pitch: -6.29
I (1174) example: Throttle: 0 | Pitch: -6.30
I (1184) example: Throttle: 0 | Pitch: -6.29
I (1194) example: Throttle: 0 | Pitch: -6.30
I (1204) example: Throttle: 0 | Pitch: -6.30
I (1214) example: Throttle: 0 | Pitch: -6.30
I (1224) example: Throttle: 0 | Pitch: -6.31
I (1234) example: Throttle: 0 | Pitch: -6.31
I (1244) example: Throttle: 0 | Pitch: -6.31
I (1254) example: Throttle: 0 | Pitch: -6.31
I (1264) example: Throttle: 0 | Pitch: -6.31
I (1274) example: Throttle: 0 | Pitch: -6.31
I (1284) example: Throttle: 0 | Pitch: -6.31
I (1294) example: Throttle: 0 | Pitch: -6.30
I (1304) example: Throttle: 0 | Pitch: -6.31
I (1314) example: Throttle: 0 | Pitch: -6.33
I (1324) example: Throttle: 0 | Pitch: -6.32
I (1334) example: Throttle: 0 | Pitch: -6.34
I (1344) example: Throttle: 0 | Pitch: -6.33
I (1354) example: Throttle: 0 | Pitch: -6.34
I (1364) example: Throttle: 0 | Pitch: -6.34
I (1374) example: Throttle: 0 | Pitch: -6.34
I (1384) example: Throttle: 0 | Pitch: -6.34
I (1394) example: Throttle: 0 | Pitch: -6.34
I (1404) example: Throttle: 0 | Pitch: -6.33
I (1414) example: Throttle: 0 | Pitch: -6.33
I (1424) example: Throttle: 0 | Pitch: -6.34
I (1434) example: Throttle: 0 | Pitch: -6.34
I (1444) example: Throttle: 0 | Pitch: -6.34
I (1454) example: Throttle: 0 | Pitch: -6.34
I (1464) example: Throttle: 0 | Pitch: -6.34
I (1474) example: Throttle: 0 | Pitch: -6.35
I (1484) example: Throttle: 0 | Pitch: -6.35
I (1494) example: Throttle: 0 | Pitch: -6.34
I (1504) example: Throttle: 0 | Pitch: -6.34
I (1514) example: Throttle: 0 | Pitch: -6.33
I (1524) example: Throttle: 0 | Pitch: -6.35
I (1534) example: Throttle: 0 | Pitch: -6.36
I (1544) example: Throttle: 0 | Pitch: -6.35
I (1554) example: Throttle: 0 | Pitch: -6.35
I (1564) example: Throttle: 0 | Pitch: -6.35
I (1574) example: Throttle: 0 | Pitch: -6.36
I (1584) example: Throttle: 0 | Pitch: -6.35
I (1594) example: Throttle: 0 | Pitch: -6.34
I (1604) example: Throttle: 0 | Pitch: -6.34
I (1614) example: Throttle: 0 | Pitch: -6.34
I (1624) example: Throttle: 0 | Pitch: -6.36
I (1634) example: Throttle: 0 | Pitch: -6.35
I (1644) example: Throttle: 0 | Pitch: -6.34
I (1654) example: Throttle: 0 | Pitch: -6.35
I (1664) example: Throttle: 0 | Pitch: -6.34
I (1674) example: Throttle: 0 | Pitch: -6.35
I (1684) example: Throttle: 0 | Pitch: -6.34
I (1694) example: Throttle: 0 | Pitch: -6.33
I (1704) example: Throttle: 0 | Pitch: -6.33
I (1714) example: Throttle: 0 | Pitch: -6.33
I (1724) example: Throttle: 0 | Pitch: -6.35
I (1734) example: Throttle: 0 | Pitch: -6.34
I (1744) example: Throttle: 0 | Pitch: -6.33
I (1754) example: Throttle: 0 | Pitch: -6.34
I (1764) example: Throttle: 0 | Pitch: -6.35
I (1774) example: Throttle: 0 | Pitch: -6.36
I (1784) example: Throttle: 0 | Pitch: -6.36
I (1794) example: Throttle: 0 | Pitch: -6.35
I (1804) example: Throttle: 0 | Pitch: -6.36
I (1814) example: Throttle: 0 | Pitch: -6.36
I (1824) example: Throttle: 0 | Pitch: -6.35
I (1834) example: Throttle: 0 | Pitch: -6.35
I (1844) example: Throttle: 0 | Pitch: -6.36
I (1854) example: Throttle: 0 | Pitch: -6.36
I (1864) example: Throttle: 0 | Pitch: -6.37
I (1874) example: Throttle: 0 | Pitch: -6.37
I (1884) example: Throttle: 0 | Pitch: -6.37
I (1894) example: Throttle: 0 | Pitch: -6.37
I (1904) example: Throttle: 0 | Pitch: -6.37
I (1914) example: Throttle: 0 | Pitch: -6.38
I (1924) example: Throttle: 0 | Pitch: -6.37
I (1934) example: Throttle: 0 | Pitch: -6.37
I (1944) example: Throttle: 0 | Pitch: -6.37
I (1954) example: Throttle: 0 | Pitch: -6.37
I (1964) example: Throttle: 0 | Pitch: -6.37
I (1974) example: Throttle: 0 | Pitch: -6.38
I (1984) example: Throttle: 0 | Pitch: -6.38
I (1994) example: Throttle: 0 | Pitch: -6.39
I (2004) example: Throttle: 0 | Pitch: -6.38
I (2014) example: Throttle: 0 | Pitch: -6.39
I (2024) example: Throttle: 0 | Pitch: -6.38
I (2034) example: Throttle: 0 | Pitch: -6.38
I (2044) example: Throttle: 0 | Pitch: -6.38
I (2054) example: Throttle: 0 | Pitch: -6.37
I (2064) example: Throttle: 0 | Pitch: -6.37
I (2074) example: Throttle: 0 | Pitch: -6.37
I (2084) example: Throttle: 0 | Pitch: -6.37
I (2094) example: Throttle: 0 | Pitch: -6.38
I (2104) example: Throttle: 0 | Pitch: -6.39
I (2114) example: Throttle: 0 | Pitch: -6.38
I (2124) example: Throttle: 0 | Pitch: -6.39
I (2134) example: Throttle: 0 | Pitch: -6.39
I (2144) example: Throttle: 0 | Pitch: -6.39
I (2154) example: Throttle: 0 | Pitch: -6.39
I (2164) example: Throttle: 0 | Pitch: -6.38
I (2174) example: Throttle: 0 | Pitch: -6.38
I (2184) example: Throttle: 0 | Pitch: -6.38
I (2194) example: Throttle: 0 | Pitch: -6.38
I (2204) example: Throttle: 0 | Pitch: -6.38
I (2214) example: Throttle: 0 | Pitch: -6.39
I (2224) example: Throttle: 0 | Pitch: -6.39
I (2234) example: Throttle: 0 | Pitch: -6.39
I (2244) example: Throttle: 0 | Pitch: -6.40
I (2254) example: Throttle: 0 | Pitch: -6.40
I (2264) example: Throttle: 0 | Pitch: -6.40
I (2274) example: Throttle: 0 | Pitch: -6.40
I (2284) example: Throttle: 0 | Pitch: -6.40
I (2294) example: Throttle: 0 | Pitch: -6.39
I (2304) example: Throttle: 0 | Pitch: -6.39
